	sample_30114	sample_30208	sample_30225	sample_30401	sample_30417	sample_30445	sample_30455	sample_30488	sample_30517	sample_30571	sample_30590	sample_30597	sample_30733	sample_30774	sample_30784	sample_30798	sample_30800	sample_30806	sample_30810	sample_30815	sample_30830	sample_30864	sample_30865	sample_30867	sample_30875	sample_30919	sample_30923	sample_30929	sample_30945	sample_30979	sample_31076	sample_31079	sample_31085	sample_31089	sample_31106	sample_31110	sample_31111	sample_31123	sample_31210	sample_31216	sample_31270	sample_31373	sample_31389	sample_31391	sample_31392	sample_31439	sample_31448	sample_31449	sample_31451	sample_31505	sample_31512	sample_75041
Methanobrevibacter	22111	4	4973	0	22	18	6817	81	4	106	0	0	3048	8116	5	6293	226	9760	7	9387	5105	6	15	16508	3	10490	0	0	1458	5	5452	86	4	15	3	9874	20	0	1330	0	9	0	12	626	0	22999	2473	26	0	0	0	0
Methanosphaera	1427	0	205	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0	0	0	0	1009	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	154	0	0	0	0	0	0
Candidatus_Methanogranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	9	0	31	100	162	0	28	114	63	78	106	25	0	0	43	11	340	11	51	71	24	50	147	9	80	0	0	17	5	7	17	80	9	0	15	0	0	99	11	26	13	26	23	0	65	11	11	10	0	0	293	70
Actinomyces_sp._oral_taxon_848_str.F0332	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Arcanobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	3	14	9	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	3101	921	22109	3049	3088	0	7	7288	9	651	263	858	1305	569	2908	0	2800	13143	2256	27145	66	5735	1119	496	1514	1358	2443	1084	74	2653	2629	1431	0	23216	1555	0	18	1272	148	362	1261	87	55	504	22646	2582	7132	73	148	16	3320	2277
Pseudoscardovia	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scardovia	0	0	10	0	0	3	0	0	0	0	5	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	24	4
Corynebacterium	0	0	0	4	0	0	0	0	5	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	2	0	3	2	0	0	0	0	5	0
Corynebacterium_1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	42	0	0	0	0	0	0	0	0	0	0
Lawsonella	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	2	0	21	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gordonia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Glutamicibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	12	9	14	54	32	0	0	6	11	5	51	11	0	7	0	0	214	0	0	33	0	0	50	3	7	4	13	0	0	20	43	18	0	0	57	0	0	4	13	12	0	0	33	0	0	0	7	17	0	0	183	0
Cutibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	15	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Libanicoccus	744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia	0	0	22	0	162	0	0	656	0	13	80	36	14	19	98	0	65	44	94	148	0	91	0	0	345	0	0	12	0	92	51	167	0	0	0	78	0	0	0	0	62	0	0	0	59	29	0	0	0	0	0	38
Atopobium	0	0	0	22	29	0	0	16	21	19	21	0	0	0	0	0	251	13	0	9	25	22	7	8	0	0	4	6	0	0	0	25	0	6	3	0	0	27	0	20	0	28	12	0	11	0	0	0	0	0	110	8
Collinsella	2860	1297	3133	1007	1753	0	73	4083	0	5503	6710	2739	512	249	1901	0	2362	1758	3197	512	1738	2583	10	747	8656	726	0	0	20	951	1051	1751	61	0	813	8570	565	4408	1534	0	439	774	2173	96	2168	470	476	88	301	194	0	10361
Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denitrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	10	0	0	0	0	0
Eggerthella	0	0	137	0	17	0	11	24	0	28	10	0	0	0	0	0	82	21	4	0	0	8	409	0	22	0	27	14	0	0	0	9	0	75	26	0	0	19	0	32	0	13	20	0	24	14	0	0	0	0	233	0
Enterorhabdus	1242	0	0	276	0	0	0	0	0	855	13	0	0	283	7	0	0	0	0	0	886	9	0	362	0	498	0	0	0	0	7	12	0	0	0	316	0	0	14	0	0	0	0	0	0	7	0	0	0	0	0	0
Gordonibacter	0	0	128	0	38	0	146	63	0	0	95	21	2	0	11	53	8	105	16	26	0	58	175	0	105	0	0	68	17	57	27	50	0	15	60	0	18	32	0	0	0	0	0	31	47	19	0	0	0	0	0	67
Olsenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
Senegalimassilia	0	0	0	52	0	0	4186	0	0	1036	2725	719	0	83	0	1540	0	0	520	244	424	0	0	1033	1372	142	0	0	0	1152	919	1102	43	0	77	1155	0	0	87	0	0	65	0	0	0	0	0	12	24	0	0	905
Slackia	295	24	52	81	0	169	62	0	0	388	0	0	0	0	19	1115	0	0	244	20	468	221	0	407	0	65	0	437	0	12	0	1080	0	0	906	0	0	13	88	0	0	55	0	77	630	0	255	0	17	0	0	941
unclassified_Coriobacteriaceae_CHKCI002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coriobacteriales_bacterium_DNF00809	37	0	92	0	0	0	62	0	0	22	0	12	0	18	7	20	0	22	0	0	17	3	34	13	66	0	0	8	0	0	0	59	7	0	0	0	0	0	6	0	0	0	0	0	10	12	0	0	0	0	0	35
Raoultibacter	0	15	0	0	0	0	5	0	0	9	0	0	0	0	8	0	0	0	0	36	0	0	0	0	21	6	0	5	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0
Bacteroides	10384	34889	29758	1047	557	101	21442	6407	1043	11603	36581	1722	10077	1942	1022	5327	7860	5013	1269	3080	11860	403	24834	222	1414	3124	12550	19706	25389	1760	1006	8308	4778	30204	4951	7761	10799	1296	913	23430	8692	5582	32865	10525	14833	28477	55973	36140	41488	15303	11281	1428
Phocaeicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barnesiella	839	0	0	82	32	0	418	87	0	5	1604	104	536	0	27	0	23	103	6	11	0	0	921	8	0	34	1655	0	2252	0	0	116	0	0	126	420	967	27	33	136	106	249	96	7908	17	4378	2470	3383	752	39	0	0
Butyricimonas	43	552	54	0	0	0	90	0	0	14	202	44	107	29	34	28	0	19	26	0	54	0	40	6	0	150	59	45	174	13	0	5	0	13	2	117	0	0	35	0	0	7	0	639	109	310	1684	13	194	31	0	0
Coprobacter	125	0	465	0	0	0	34	0	0	0	78	4	194	0	0	0	0	0	7	5	0	0	0	0	0	0	0	0	109	5	0	0	5	0	0	153	0	0	0	0	6	0	2	180	0	0	145	403	10	0	0	0
Odoribacter	218	76	555	5	3	0	69	0	0	0	262	183	204	17	22	0	16	183	7	17	155	0	340	20	8	140	83	49	288	34	94	6	16	26	0	176	38	9	9	0	114	0	21	1181	61	1520	891	412	708	88	21	5
Parabacteroides	534	1503	3425	215	38	0	452	79	11	247	2283	18	807	60	9	887	55	172	137	1108	525	0	1244	9	116	491	1400	2781	948	297	136	285	82	3138	12	190	113	56	745	1333	522	1181	2239	1181	1088	1316	1632	1545	1233	515	196	53
Porphyromonas	0	167	0	0	0	0	11	11	0	0	4	0	0	0	0	2	0	23	13	0	7	123	0	0	0	0	0	943	21	1273	8	22	0	0	0	8	18	0	6	0	0	0	5	0	0	9	14	86	22	0	0	0
Sanguibacteroides	20	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
