	sample_30170	sample_30381	sample_30383	sample_30394	sample_30398	sample_30418	sample_30433	sample_30460	sample_30467	sample_30516	sample_30518	sample_30580	sample_30585	sample_30587	sample_30675	sample_30696	sample_30709	sample_30741	sample_30753	sample_30799	sample_30804	sample_30814	sample_30835	sample_30843	sample_30855	sample_30862	sample_30917	sample_30950	sample_30956	sample_30957	sample_30958	sample_30964	sample_30968	sample_30974	sample_30994	sample_31024	sample_31025	sample_31054	sample_31088	sample_31096	sample_31119	sample_31174	sample_31206	sample_31209	sample_31241	sample_31246	sample_31263	sample_31267	sample_31316	sample_31387	sample_31388	sample_31394	sample_31399	sample_31412	sample_31413	sample_31457	sample_75024
Methanobrevibacter	8	14	32893	0	5804	0	15205	3329	0	1054	0	8	0	0	0	0	0	2166	0	11251	7	0	229	14	19	5	7776	54	0	0	7	2713	0	5	32	0	12164	4	8901	0	0	0	0	2637	129	11585	19337	1117	4	0	37	51	0	7548	233	3	11678
Methanosphaera	0	0	0	0	0	0	0	150	592	0	0	0	0	0	0	0	0	17	0	202	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	312	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	0	47	490	62	8	11	219	38	55	0	8	21	61	23	5	9	15	106	173	249	14	10	16	13	7	0	16	0	0	47	13	30	6	41	11	198	9	60	14	45	3	0	17	3	0	0	7	17	68	59	23	17	46	0	23	0	116
Actinomyces_sp._oral_taxon_848_str.F0332	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	8	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Bifidobacterium	3229	551	5533	8731	0	6410	1724	11066	1092	264	1885	7566	4789	12864	0	46	0	2277	12313	1794	1251	8386	4984	1869	278	216	2552	697	1801	722	7	112	166	4500	22	12	461	612	115	501	954	11	3150	97	2194	13966	0	350	1588	1092	1260	513	126	1780	29	51	27
Gardnerella	0	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parascardovia	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scardovia	0	8	369	9	0	7	0	0	5	0	0	0	11	0	0	0	0	7	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Corynebacterium	0	0	15	0	5	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9
Corynebacterium_1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawsonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kocuria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Rothia	10	0	125	11	0	5	5	0	92	0	18	9	102	18	0	16	21	247	239	11	0	0	0	7	0	0	8	0	0	0	0	12	0	0	0	23	0	32	0	43	6	0	0	7	0	19	0	36	0	0	6	0	11	3	0	17	56
