	sample_30213	sample_30220	sample_30237	sample_30250	sample_30471	sample_30482	sample_30501	sample_30539	sample_30558	sample_30563	sample_30567	sample_30582	sample_30629	sample_30701	sample_30711	sample_30717	sample_30721	sample_30725	sample_30742	sample_30782	sample_30802	sample_30860	sample_30925	sample_30927	sample_30940	sample_30961	sample_31000	sample_31003	sample_31004	sample_31043	sample_31285	sample_31289	sample_31299	sample_31305	sample_31311	sample_31380	sample_31402	sample_31416	sample_31420	sample_31511	sample_31516	sample_75015
Methanobrevibacter	2855	1964	0	1051	2894	39	15198	0	8008	2431	5946	996	253	818	0	6	2477	18791	2	7	591	14	0	15	0	12	6	8	1290	0	9	2	254	0	0	7	1700	15427	0	17	5	0
Methanosphaera	0	0	0	270	164	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus_Methanogranum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	15	384	19	43	51	0	12	15	15	852	15	0	21	0	0	66	41	9	147	25	3	111	88	32	0	0	30	7	8	0	2	0	0	0	55	33	7	36	0	43	0	113
Actinomyces_sp._oral_taxon_848_str.F0332	0	0	3	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	12	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	11	0	0	0	0
Bifidobacterium	66	6600	0	170	4989	338	150	7806	193	2485	127	2572	1769	646	215	2201	1435	0	3236	23	121	16873	13221	3189	544	30	0	144	1957	705	0	194	0	141	5085	1216	150	299	1884	1515	91	3549
Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0
Parascardovia	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoscardovia	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scardovia	0	0	9	0	17	0	0	0	0	0	0	0	0	0	0	9	0	0	7	0	0	59	3	0	0	4	3	0	0	0	0	0	0	0	6	0	0	0	0	41	0	0
Corynebacterium	0	0	0	0	0	0	4	0	0	45	0	0	0	0	0	2	0	0	19	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	3
Lawsonella	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clavibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	14	0	0	16	0	6	31	0	42	327	0	0	31	0	0	26	0	24	693	5	12	5	52	39	8	13	7	0	0	0	0	3	0	0	4	0	0	136	0	19	8	73
Cutibacterium	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Libanicoccus	119	0	0	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia	0	0	0	419	0	135	24	0	98	0	0	0	0	0	41	0	104	0	0	0	0	52	324	35	0	15	40	0	0	0	0	0	0	55	0	40	0	0	0	19	0	15
Atopobium	0	28	4	0	12	0	0	0	0	24	0	0	5	0	4	55	0	0	3	0	0	104	12	21	12	2	0	0	0	12	0	0	0	5	15	0	31	0	0	7	0	14
Collinsella	594	8192	1842	2612	20494	1857	275	5090	4029	1415	157	732	1935	1310	1221	3647	9861	0	815	370	606	2660	4921	5910	1670	127	5	262	516	435	0	54	125	677	5	795	258	202	102	1557	935	3147
Cryptobacterium	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella	0	0	0	36	38	49	0	8	19	0	0	0	0	0	0	12	0	33	33	11	0	0	9	42	0	5	15	0	0	0	14	0	0	0	536	8	0	0	0	37	0	0
Enorma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterorhabdus	293	0	0	0	512	0	2484	0	1422	0	68	0	111	481	0	0	0	0	0	0	0	31	0	0	0	0	0	82	1609	0	0	149	134	0	0	0	0	126	0	0	0	617
Gordonibacter	0	48	0	5	0	325	5	45	10	167	0	15	0	0	0	28	4	56	307	0	0	27	37	33	27	19	14	0	0	0	0	0	0	4	150	110	11	0	6	11	30	0
Olsenella	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	16	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
Parvibacter	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senegalimassilia	118	0	288	0	891	0	0	131	0	0	175	0	421	244	218	0	400	0	11260	640	104	0	0	0	0	165	0	1117	111	0	0	0	13	149	0	0	0	125	64	0	0	188
Slackia	201	206	151	0	2376	0	0	0	0	1131	0	116	5	148	0	262	0	0	0	0	302	152	0	5	111	0	239	308	667	75	0	0	62	0	0	0	30	113	3	0	174	211
unclassified_Coriobacteriaceae_CHKCI002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coriobacteriales_bacterium_DNF00809	17	47	0	13	41	0	0	17	190	88	16	22	0	0	0	0	31	0	7	11	10	34	44	0	0	6	6	0	66	0	37	0	0	0	0	29	0	0	23	0	5	13
Raoultibacter	0	16	0	30	17	15	0	0	0	8	0	6	0	3	0	0	8	9	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Bacteroides	218	72	570	2739	1510	17426	8246	19424	13349	2766	12188	5888	1932	3052	8620	4074	2228	11290	4942	22310	2897	691	15527	2237	15574	10875	3078	14000	3833	6524	90954	14646	24878	4244	6376	20653	59500	39142	70080	6318	24169	8853
Barnesiella	4	0	22	25	162	0	0	1048	86	489	81	0	23	148	439	36	393	152	2493	131	40	102	0	17	162	310	146	0	68	108	0	240	2595	262	226	10336	2034	1022	529	0	1199	776
Butyricimonas	2	0	0	10	37	3	6	35	41	25	11	22	28	54	49	0	23	31	85	51	14	0	19	0	0	0	4	0	26	0	0	30	358	16	0	0	236	307	324	0	176	172
Coprobacter	0	0	0	0	0	0	0	14	0	8	0	0	0	9	6	0	19	0	19	6	3	0	0	0	0	4	0	0	0	0	0	40	12	0	0	0	13	16	56	0	0	7
Odoribacter	0	0	4	52	35	63	63	46	169	34	33	23	22	71	109	7	71	27	56	295	59	6	20	12	40	10	31	22	24	0	0	302	37	27	29	699	973	1352	151	17	319	954
Parabacteroides	30	4	11	518	472	152	619	1351	305	291	302	329	209	328	1286	769	266	175	2425	475	48	16	190	640	570	526	133	124	719	2384	2494	276	1841	28	41	9274	2341	4179	912	2234	2962	1665
Porphyromonas	2	503	0	0	0	14	0	5	0	3	0	5	0	21	0	0	10	201	37	0	2	0	0	0	7	0	18	0	90	19	0	0	2	0	0	2	13	8	0	55	0	0
Sanguibacteroides	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloprevotella	1580	14	427	0	531	0	0	0	5819	81	0	0	0	3745	0	0	0	0	0	0	0	0	0	4111	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	0	298
Paraprevotella	26	75	43	75	0	0	2725	168	1268	116	2680	438	132	850	188	76	244	1036	498	0	412	170	1615	218	0	0	0	314	477	361	0	1627	1695	0	0	620	5826	1673	0	360	715	147
Prevotella	0	162	0	0	0	24	0	37	0	46	0	29	0	11	0	0	0	32	2	44	3	0	0	0	0	22	3	0	44	0	2	0	0	0	0	4	6	5	0	0	2	0
Prevotella_2	31	67	0	0	0	0	308	0	540	0	145	0	0	0	0	0	0	2882	0	0	1606	0	0	2499	0	2	0	1030	265	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella_6	0	108	0	0	0	18	0	4	0	4	0	4	0	0	0	0	13	7	0	18	0	0	2	0	11	0	0	0	0	45	0	0	0	0	0	0	25	0	0	0	0	0
Prevotella_7	0	0	0	699	0	0	0	0	0	0	0	254	1418	2228	0	0	0	2	0	0	2158	0	0	0	0	0	0	100	669	0	0	0	133	0	0	0	0	0	0	0	0	0
Prevotella_9	5735	173	1111	1344	3028	24	7487	1421	0	3661	0	191	4653	18588	3051	0	1940	1000	38	0	29205	539	0	6978	8	0	0	8	2266	6627	0	22606	4903	0	6	296	25	25084	23	21	0	8107
Prevotellaceae_NK3B31_group	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	39	0	0	0	686	0	0	0	9046	0	0	0	0	0
Prevotellaceae_UCG.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes	27	0	160	21	340	665	182	2763	1923	1288	2006	144	393	1012	2290	40	940	663	4884	2911	210	460	8966	543	249	1575	257	15	171	381	0	3218	6996	1222	59	16892	3717	11217	7426	230	8692	2081
Rikenella	0	0	0	0	0	0	0	0	0	0	0	9	0	7	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0
Rikenellaceae_RC9_gut_group	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	342	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacterium	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobium	0	0	0	0	0	0	202	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alicyclobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Tumebacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Gemella	0	32	5	42	60	0	0	4	11	218	0	0	0	0	0	24	12	0	0	0	0	18	0	12	0	0	0	0	15	0	0	0	51	66	24	0	12	105	0	8	0	177
Staphylococcus	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abiotrophia	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aerococcus	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	8	6	0	14	0	0	0	0	14	97	5	19	0	0	0	0	0	14	0	13	0	0	19	9	12	0	15	16	8	0	0	5	27	0	19	0	7	75	0	9	0	111
Enterococcus	0	0	145	0	502	24	39	62	0	52	0	23	36	42	7	21	19	0	64	0	0	13	0	0	0	0	0	0	0	33	169	0	0	39	0	0	0	3220	0	0	0	0
Lactobacillus	7	362	546	27	489	0	9	6	0	466	0	0	33	38	0	414	508	7	98	22	0	96	3	3522	4	32	0	0	137	8	11	4	0	0	72	0	0	492	0	441	239	1552
Pediococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fructobacillus	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Leuconostoc	7	16	0	0	19	0	0	0	27	340	0	22	44	0	0	0	7	23	7	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	291
Weissella	62	0	140	0	3530	0	0	15	19	2051	8	0	50	0	0	16	0	31	111	18	0	4	5	0	0	0	0	2	0	466	0	0	4	9	83	0	329	0	0	10	180	715
Lactococcus	26	42	0	0	310	162	87	4	14	56	0	34	44	20	0	0	9	0	109	0	0	45	0	0	0	6	0	0	0	0	0	0	0	149	0	4	5	0	0	7	13	216
Streptococcus	252	686	486	491	1369	163	406	302	1053	5910	129	759	256	281	57	15253	869	330	1012	279	61	170	1812	1791	717	271	80	65	81	905	632	509	187	1195	2237	231	1420	3976	58	415	1227	13284
Catabacter	0	0	0	0	7	0	12	0	0	4	13	0	0	0	0	8	0	63	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	18	0
Christensenella	0	0	0	0	0	21	0	16	10	0	0	0	0	0	0	0	8	11	0	0	0	0	35	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0
Christensenellaceae_R.7_group	858	4462	2450	601	727	1047	3218	4685	7337	1961	4968	18813	275	915	394	318	547	837	1786	2592	420	3285	989	158	5087	303	481	112	1802	197	6	179	2799	861	0	89	4210	2984	1132	163	1844	3144
