	sample_30189	sample_30206	sample_30221	sample_30234	sample_30423	sample_30487	sample_30489	sample_30534	sample_30588	sample_30598	sample_30599	sample_30621	sample_30659	sample_30705	sample_30768	sample_30817	sample_30841	sample_30847	sample_30850	sample_30900	sample_30901	sample_30905	sample_30928	sample_30986	sample_30992	sample_30995	sample_30996	sample_31047	sample_31058	sample_31083	sample_31132	sample_31151	sample_31180	sample_31188	sample_31213	sample_31250	sample_31253	sample_31275	sample_31287	sample_31309	sample_31395	sample_31419	sample_31421	sample_31426	sample_31429	sample_31465	sample_31507	sample_31517
Methanobrevibacter	5	0	6	1049	0	1110	5827	0	0	0	306	13	2325	9	5	3964	10	0	12	8	40	0	5	9	5	0	0	4	0	0	27	0	1336	0	162	4902	297	0	5	15736	0	0	2864	0	4	41800	2	0
Methanosphaera	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	166	0	0	0	0	0	0	0	0	0	0
Actinomyces	58	3	6	0	0	86	38	4	5	2	0	93	6	27	21	12	54	145	207	13	0	33	0	100	254	38	0	22	88	4	75	0	0	8	8	17	44	0	0	25	10	0	36	42	37	0	0	0
Actinomyces_sp._oral_taxon_848_str.F0332	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mobiluncus	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bifidobacterium	3865	36	1508	835	370	3583	9580	1789	2375	19	291	1373	0	513	2412	1560	6594	4222	2519	13079	200	964	0	688	228	9438	388	1103	10703	5753	40	786	0	498	196	1183	79	55	1054	3820	698	482	0	8	200	53	212	17436
Gardnerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parascardovia	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Scardovia	0	0	0	0	21	0	0	0	4	0	0	0	6	0	0	0	0	0	0	0	0	6	0	11	33	17	0	0	0	0	0	0	0	0	0	0	0	0	0	8	5	3	4	15	0	0	0	0
Corynebacterium	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Corynebacterium_1	0	0	25	0	0	0	0	0	0	0	0	0	0	21	0	0	0	3	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawsonella	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brevibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clavibacter	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoclavibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rothia	0	3	62	0	107	7	38	0	0	6	0	29	0	8	0	0	3	0	103	7	0	22	0	65	60	32	6	12	14	0	0	0	0	48	0	7	0	0	0	21	19	0	8	0	0	0	4	0
Cutibacterium	0	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0
Pseudopropionibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Libanicoccus	0	0	0	1084	0	0	2858	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Adlercreutzia	0	0	0	0	55	30	0	0	0	0	31	0	28	0	0	105	0	0	0	0	0	0	0	0	746	0	0	0	0	84	0	94	0	25	0	172	0	0	7	254	0	20	89	0	22	0	0	0
Atopobium	5	0	11	0	7	199	6	0	3	0	0	12	0	0	0	14	21	38	34	0	17	33	0	32	99	0	0	6	0	0	6	0	0	0	0	4	0	0	7	0	9	0	7	24	8	96	0	0
Collinsella	2269	51	73	731	836	3343	2788	1547	913	49	242	1844	834	3042	596	5339	1150	11500	1699	3524	176	448	992	2220	22080	0	1647	536	0	301	11082	251	335	2476	699	1297	335	110	6961	4	165	626	2226	562	465	1863	758	0
Cryptobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Denitrobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0
Eggerthella	0	0	459	0	0	0	0	6	0	51	0	0	0	83	0	0	80	248	0	0	8	0	58	0	140	549	0	22	412	34	0	18	0	17	0	15	0	0	0	112	10	3	4	0	0	0	0	58
Enterorhabdus	0	0	0	687	0	0	1768	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	394	0	0	0	0	0	0	709	0	0	0	0	0	0	26	0	0	0	0	376	7	0	0	0	0
Gordonibacter	11	0	0	0	0	7	0	0	19	14	5	0	0	90	0	11	0	0	63	87	28	0	9	0	293	364	0	50	0	40	0	0	0	35	4	18	0	0	28	130	20	6	0	64	14	41	22	19
Olsenella	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Senegalimassilia	0	26	0	264	815	1110	531	0	0	0	0	1220	1071	0	85	0	0	0	378	802	0	289	0	136	0	0	32	0	0	0	311	0	0	0	0	0	75	54	0	0	0	0	309	377	0	518	0	0
Slackia	0	0	16	216	1909	157	1164	0	0	12	152	1562	20	45	69	130	0	2	149	294	40	0	0	630	11	2287	0	260	0	96	907	0	0	0	38	0	27	0	20	47	38	0	675	45	0	0	105	0
Coriobacteriales_bacterium_DNF00809	0	0	0	30	13	0	0	0	0	0	8	0	6	0	0	25	0	0	0	143	4	63	0	12	0	0	26	0	0	15	0	0	5	0	0	0	0	0	0	0	6	0	12	10	0	26	0	142
Raoultibacter	0	0	0	0	0	0	10	8	0	0	0	0	0	5	0	9	17	0	0	8	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	12	0	0	0	30	0	0	0	0	0	8	0	0
Bacteroides	16176	12076	13395	1676	10630	352	6047	12881	2657	7992	42064	1962	2486	4360	2115	656	37755	7864	18465	29668	22489	3613	34058	1133	1591	18577	1964	2932	2266	597	364	5602	1817	19874	13640	3979	1053	3416	5382	3931	47248	37741	49089	30125	136887	36759	14991	6984
Phocaeicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Barnesiella	99	1025	0	90	21	6	42	68	49	150	1131	0	11	861	182	171	0	2	391	1786	92	153	0	26	0	4227	199	0	12	23	10	0	133	0	928	43	64	86	289	89	2080	2019	2157	638	693	733	246	0
Butyricimonas	0	258	0	29	0	0	37	93	0	11	42	0	5	453	34	8	0	0	0	390	64	27	67	0	0	58	0	28	0	0	0	7	6	0	18	19	3	31	3	94	18	61	0	113	51	78	3	0
Coprobacter	15	0	0	0	0	0	0	0	0	3	76	0	4	0	0	0	0	0	0	5	0	0	0	0	0	105	0	0	0	0	0	0	0	4	0	0	3	19	0	0	58	394	73	0	42	0	12	0
Dysgonomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Odoribacter	30	74	0	0	10	0	16	63	13	12	213	0	30	113	78	6	231	82	339	335	311	16	33	9	0	20	0	15	0	0	0	3	6	44	126	268	29	23	9	84	783	334	1287	207	315	628	55	0
Parabacteroides	69	2328	161	357	799	62	446	715	112	148	713	135	89	3832	682	62	7391	315	403	609	1145	179	1002	928	52	128	93	518	126	0	10	1133	543	905	223	1855	25	598	14	169	1321	861	3670	2305	1137	1098	142	0
Porphyromonas	10	14	82	0	3	3	0	0	23	2	0	0	0	0	0	8	0	4	0	5	0	0	29	3621	0	71	7	0	1864	0	58	0	69	0	3	0	0	0	0	17	0	52	13	2	7	8	0	0
Proteiniphilum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sanguibacteroides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0
Alloprevotella	0	0	3	2640	0	0	2382	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	1406	0	0	0	0	3	0	147	0	0	2	0	188	0	443	0	0	0	0	0	0	0	0	0	0
Paraprevotella	185	211	0	59	41	0	234	759	0	0	1808	0	1409	323	0	185	0	0	806	25	2559	0	228	76	366	0	0	0	0	289	102	35	183	0	997	132	70	63	0	727	1671	0	0	1350	895	33	4217	0
Prevotella	0	10	135	3	5	0	2	3	34	12	7	0	0	0	0	0	0	0	0	2	55	13	162	1712	145	52	3	10	234	0	0	0	5	0	0	0	0	3	0	0	0	0	38	0	155	242	0	0
Prevotella_2	0	0	1052	0	331	0	525	2	0	0	0	0	54	0	0	0	0	17	0	0	2582	0	4260	0	45	0	0	0	0	0	0	0	0	0	8	71	0	0	0	0	0	0	0	0	0	0	0	492
Prevotella_6	12	20	6	0	0	0	0	0	9	13	0	3	0	0	0	0	0	0	0	0	3	0	11	1855	0	0	0	14	25	0	7	0	0	0	0	0	0	0	0	0	0	0	119	0	8	21	0	11
Prevotella_7	0	0	898	1541	0	120	1317	0	0	0	0	0	0	0	0	0	0	9	0	0	0	21	0	4517	21	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	2032	0	0	0	0	0
Prevotella_9	56	0	0	14147	13583	1070	10451	37275	7	0	0	11476	0	310	6819	629	0	58	59	51	15	3238	184	2113	307	1480	140	24	9	0	32	0	813	27	15977	0	21	1969	642	1878	45	24	8039	5221	0	902	35	2471
Prevotellaceae_NK3B31_group	5	0	0	0	0	0	93	682	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_UCG.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	2471	0	0	0	0	0	0	0	0	0	0
Prevotellaceae_UCG.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alistipes	880	3234	21	156	155	56	596	2978	152	367	2242	3	447	6573	1213	357	7855	420	3149	1266	5071	926	291	115	9	5352	1289	94	111	255	108	360	938	1934	2586	381	219	486	569	872	2872	8099	8853	5909	423	2958	2152	0
Rikenella	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
Rikenellaceae_RC9_gut_group	0	0	0	136	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0
Ohtaekwangia	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacterium	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flavobacterium	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sediminibacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nubsella	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeribacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exiguobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
