	sample_30252	sample_30502	sample_30625	sample_30641	sample_30654	sample_30728	sample_30729	sample_31032	sample_31208	sample_31238	sample_31268	sample_31313	sample_31332	sample_31382	sample_31436	sample_31455	sample_31513
Methanobrevibacter	4	9	0	28774	10182	0	4691	11	2002	0	0	5	49998	0	31171	6	976
Methanosphaera	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0
Actinomyces	56	12	0	11	15	0	23	51	27	0	27	115	69	11	11	0	8
Actinomyces_sp._oral_taxon_848_str.F0332	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
Mobiluncus	0	9	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Varibaculum	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alloscardovia	107	0	0	0	0	0	0	0	0	0	0	0	16	0	0	15	0
Bifidobacterium	28088	169	431	6	212	9277	222	1975	306	4262	719	5172	1272	257	4662	15	154
Pseudoscardovia	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Scardovia	72	0	0	3	0	0	0	0	5	49	0	0	24	0	4	0	0
Corynebacterium	18	4	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
Lawsonella	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dietzia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Rothia	143	0	60	0	0	0	0	32	3	12	24	0	153	5	0	16	0
Cutibacterium	16	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Propionibacterium	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0	708	0	0	0	0	0	0	0	0	0	0
Adlercreutzia	0	36	0	226	0	0	240	0	61	0	0	0	67	49	0	0	0
Atopobium	380	0	0	0	0	0	0	28	18	0	0	0	0	0	0	0	0
Collinsella	0	3976	2788	9	1185	920	266	1401	610	0	1285	1967	18590	2328	1543	230	624
Eggerthella	671	4	0	0	0	0	18	0	0	112	0	0	0	0	16	0	0
Enterorhabdus	0	556	75	0	528	445	355	75	0	0	0	0	0	0	0	0	438
Gordonibacter	0	8	5	206	0	0	11	0	0	181	93	33	180	0	134	170	7
Olsenella	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0
Parvibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
Senegalimassilia	0	188	0	0	396	0	38	1867	0	0	0	0	1644	0	0	0	901
Slackia	0	0	59	0	190	555	370	142	87	43	140	59	716	51	0	0	153
Coriobacteriales_bacterium_DNF00809	0	60	0	20	0	0	10	0	0	0	0	0	20	0	194	0	0
Raoultibacter	0	4	0	0	0	0	0	0	0	17	0	12	0	2	0	0	0
Bacteroides	1143	61	5248	710	182	158	2595	583	2519	40073	276	10101	5249	25543	22890	59420	8140
Barnesiella	0	4	0	0	0	0	46	0	74	280	0	258	240	2710	685	0	518
Butyricimonas	0	0	10	8	0	4	11	4	0	0	0	73	11	231	109	1082	30
Coprobacter	0	0	0	0	0	0	0	0	19	419	0	34	0	0	67	1438	0
Odoribacter	0	6	16	0	0	0	20	0	8	899	0	91	22	395	254	3801	0
Parabacteroides	0	12	7	67	9	18	87	180	93	0	0	564	136	983	2122	894	252
Porphyromonas	23	7	40	0	0	0	0	0	0	0	0	53	0	0	29	0	8
Alloprevotella	0	0	0	467	321	20	0	3202	0	0	0	6	0	0	0	0	0
Paraprevotella	0	22	249	0	0	0	83	16	373	0	86	647	353	899	296	840	30
Prevotella	0	0	0	0	0	15	2	0	0	0	0	0	0	8	0	0	6
Prevotella_2	0	0	4102	49	145	0	0	4760	0	0	0	0	0	0	0	0	0
Prevotella_6	0	0	0	0	0	16	0	0	0	0	0	3	0	3	0	0	29
Prevotella_7	0	0	0	0	111	0	0	6	0	0	0	0	0	0	0	0	559
Prevotella_9	0	193	19848	6980	1740	4487	128	9459	0	0	0	302	26	28452	8	9	1535
Prevotellaceae_NK3B31_group	0	0	2659	0	0	0	4	98	0	0	0	0	0	0	0	0	0
Prevotellaceae_UCG.001	0	0	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0
Prevotellaceae_UCG.003	0	0	33	57	19	0	0	0	8	0	0	0	0	0	0	0	0
Alistipes	0	28	230	107	27	31	1003	68	384	13643	22	5278	2532	1935	5978	11530	1957
Rikenella	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	8
Rikenellaceae_RC9_gut_group	0	0	24	132	0	0	0	0	0	0	0	169	0	843	0	0	254
Cloacibacterium	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Elusimicrobium	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Bacillus	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Geobacillus	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0
Gemella	67	6	4	0	0	0	0	0	51	10	45	84	15	0	0	9	0
Staphylococcus	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Granulicatella	92	0	15	0	0	0	0	0	45	0	45	0	27	3	0	11	0
